order_id,SKU,qty,x,y,ABC
124379,WH1BJI,3,14,5,C
124379,WH1BJI,3,14,6,C
124379,WH1BJI,1,15,5,C
124379,WH1BJI,2,14,6,C
124379,WGHG3L,1,15,5,C
124379,I1KDJ0,3,14,5,C
124379,I1KDJ0,4,14,6,C
124378,KTDZY0,1,15,6,C
124378,32ZKOX,1,14,5,C
124378,UNPPMJ,1,14,5,C
124377,9KHDG3,1,14,5,C
124376,9KHDG3,1,14,5,C
124375,Z8KPP8,1,15,5,C
124374,8N10W9,1,15,6,C
124374,8N10W9,2,14,5,C
124374,8N10W9,2,15,5,C
124374,2T1DJM,1,15,5,C
124374,2T1DJM,1,15,5,C
124374,2T1DJM,1,14,5,C
124374,8N10W9,1,14,6,C
124374,8N10W9,2,15,5,C
124374,8N10W9,2,15,5,C
124374,8N10W9,2,15,6,C
124374,8N10W9,1,15,6,C
124374,8N10W9,1,15,6,C
124374,2T1DJM,1,15,5,C
124374,2T1DJM,1,14,5,C
124374,2T1DJM,1,14,6,C
124374,2T1DJM,1,15,5,C
124373,7BU1V7,1,15,6,C
124373,XUZJ74,1,15,6,C
124373,XUZJ74,1,14,5,C
124373,XUZJ74,1,14,5,C
124373,SMMRK3,1,14,6,C
124373,SMMRK3,1,14,6,C
124373,SMMRK3,1,15,5,C
124373,SMMRK3,1,14,5,C
124373,SMMRK3,1,14,6,C
124373,8N10W9,2,14,6,C
124373,8N10W9,7,15,5,C
124372,RUUOCB,1,14,5,C
124371,K3YA1X,1,15,5,C
124371,K3YA1X,1,15,6,C
124371,K3YA1X,1,15,5,C
124370,8N10W9,1,15,5,C
124370,8N10W9,1,15,6,C
124370,8N10W9,1,14,5,C
124370,8N10W9,1,15,5,C
124370,8N10W9,1,15,6,C
124370,8N10W9,1,14,6,C
124370,8N10W9,1,14,5,C
124370,8N10W9,1,15,5,C
124370,8N10W9,1,14,5,C
124370,8N10W9,1,14,5,C
124369,WH1BJI,1,14,6,C
124369,WH1BJI,1,14,6,C
124369,2OAVPY,1,15,5,C
124369,2OAVPY,1,14,6,C
124369,2OAVPY,1,15,6,C
124369,8N10W9,4,15,5,C
124369,8N10W9,3,15,5,C
124369,8N10W9,3,14,6,C
124369,8N10W9,2,15,6,C
124369,8N10W9,2,15,5,C
124369,ZRCYSH,1,15,5,C
124369,ZRCYSH,1,14,5,C
124369,ZRCYSH,1,14,6,C
124369,ZRCYSH,2,14,5,C
124369,ZRCYSH,1,14,6,C
124369,TNAHD4,1,15,5,C
124369,JEGRCL,3,15,5,C
124369,8N10W9,1,14,6,C
124369,8N10W9,1,14,5,C
124369,8N10W9,1,15,6,C
124369,8N10W9,1,14,6,C
124368,SMMRK3,1,15,6,C
124368,8N10W9,1,15,5,C
124368,8N10W9,1,14,5,C
124368,8N10W9,1,15,6,C
124368,8N10W9,1,15,6,C
124368,2T1DJM,1,14,6,C
124368,56TC1Z,1,14,6,C
124368,NJVZEL,1,15,6,C
124368,IA7X1P,1,15,6,C
124368,W25EZN,1,15,6,C
124368,KTDZY0,1,14,6,C
124368,AKP0A7,1,15,5,C
124368,AKP0A7,1,15,5,C
124368,AKP0A7,1,14,6,C
124368,AKP0A7,2,15,5,C
124368,Z8KPP8,1,14,5,C
124368,WGHG3L,1,15,5,C
124368,WRRW1W,1,15,5,C
124368,JEGRCL,1,14,6,C
124368,8N10W9,1,15,6,C
124368,8N10W9,1,15,6,C
124368,2T1DJM,1,15,5,C
124368,NJVZEL,1,15,5,C
124368,W25EZN,1,14,6,C
124368,W25EZN,1,15,6,C
124368,WRRW1W,1,15,6,C
124367,E5CISL,1,14,6,C
124367,E5CISL,1,14,6,C
124366,XUZJ74,1,15,6,C
124366,AKP0A7,1,14,6,C
124366,800OVF,1,15,5,C
124365,CU53FM,1,15,5,C
124365,CU53FM,1,14,6,C
124364,7BU1V7,2,14,6,C
124364,XUZJ74,1,14,6,C
124364,8N10W9,1,14,5,C
124364,2T1DJM,1,14,5,C
124363,Q50W5L,1,15,6,C
124363,V7JUQL,1,15,6,C
124362,XUZJ74,1,14,6,C
124362,SMMRK3,2,14,6,C
124362,XUZJ74,1,14,5,C
124362,SMMRK3,1,15,5,C
124362,SMMRK3,1,15,5,C
124362,8N10W9,1,15,6,C
124362,8N10W9,1,14,6,C
124362,8N10W9,1,14,5,C
124362,8N10W9,1,14,5,C
124362,8N10W9,1,14,6,C
124362,2T1DJM,1,14,6,C
124362,2T1DJM,1,15,6,C
124362,2T1DJM,1,15,5,C
124362,ZRCYSH,2,14,6,C
124362,37VA62,1,14,5,C
124361,37VA62,1,15,5,C
124360,HLOISD,1,14,6,C
124359,8N10W9,1,14,5,C
124359,8N10W9,4,14,6,C
124359,8N10W9,2,15,6,C
124359,8N10W9,1,15,5,C
124359,8N10W9,1,15,5,C
124359,8N10W9,1,15,6,C
124359,8N10W9,1,15,5,C
124358,I1KDJ0,1,14,6,C
