order_id,SKU,qty,x,y
124360,HLOISD,1,,
124359,8N10W9,1,,
124359,8N10W9,4,,
124359,8N10W9,2,,
124359,8N10W9,1,,
124359,8N10W9,1,,
124359,8N10W9,1,,
124359,8N10W9,1,,
124358,I1KDJ0,1,,
124358,I1KDJ0,1,,
124358,I1KDJ0,2,,
124358,JEGRCL,1,,
124357,2T1DJM,1,,
124357,2T1DJM,1,,
124357,2T1DJM,2,,
124357,2T1DJM,1,,
124357,KTDZY0,1,,
124357,I1KDJ0,1,,
124357,I1KDJ0,1,,
124357,I1KDJ0,1,,
124357,JEGRCL,1,,
124357,JEGRCL,1,,
124357,JEGRCL,1,,
124356,6M2FJM,1,,
124355,SMMRK3,2,,
124354,F7LULH,1,,
124353,JEGRCL,1,,
124353,4SD17H,1,,
124352,CD1NU9,1,,
124352,UHYJ3A,1,,
124352,UHYJ3A,1,,
124352,UHYJ3A,1,,
124352,UHYJ3A,1,,
124351,Q50W5L,1,,
124350,TBCCF7,1,,
124349,NM6C73,1,,
124348,7BU1V7,4,,
124348,7BU1V7,4,,
124348,8E9F1P,2,,
124348,XUZJ74,2,,
124348,2OAVPY,2,,
124348,SMMRK3,3,,
124348,7BU1V7,2,,
124348,XUZJ74,4,,
124348,XUZJ74,4,,
124348,2OAVPY,3,,
124348,2OAVPY,3,,
124348,SMMRK3,4,,
124348,SMMRK3,4,,
124348,7BU1V7,5,,
124348,8E9F1P,2,,
124348,XUZJ74,6,,
124348,2OAVPY,4,,
124348,SMMRK3,6,,
124348,SMMRK3,1,,
124348,7BU1V7,4,,
124348,7BU1V7,4,,
124348,8E9F1P,2,,
124348,XUZJ74,3,,
124348,XUZJ74,3,,
124348,2OAVPY,4,,
124348,SMMRK3,4,,
124348,7BU1V7,2,,
124348,7BU1V7,2,,
124348,XUZJ74,2,,
124348,2OAVPY,3,,
124348,2OAVPY,2,,
124348,SMMRK3,6,,
124348,SMMRK3,4,,
124348,SMMRK3,2,,
124348,2T1DJM,1,,
124348,8N10W9,5,,
124348,2T1DJM,2,,
124348,KTDZY0,1,,
124348,AKP0A7,4,,
124348,8D9SAW,4,,
124348,V7JUQL,3,,
124348,LXJQVG,5,,
124348,8N10W9,9,,
124348,2T1DJM,2,,
124348,W25EZN,4,,
124348,KTDZY0,2,,
124348,I1KDJ0,2,,
124348,WRRW1W,3,,
124348,O9YFO8,2,,
124348,2T1DJM,3,,
124348,KTDZY0,5,,
124348,AKP0A7,3,,
124348,ZGYCSW,1,,
124348,I1KDJ0,4,,
124348,WRRW1W,6,,
124348,O9YFO8,2,,
124348,AKP0A7,3,,
124348,8D9SAW,6,,
124348,8D9SAW,5,,
124348,0LNUOV,7,,
124348,0LNUOV,3,,
124348,KTDZY0,2,,
